Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"C1QA","Complement C1q A Chain","Protein Coding","P02745","60","GC01P060983","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1QA"
"CAPN3","Calpain 3","Protein Coding","P20807","60","GC15P042359","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPN3"
"F11","Coagulation Factor XI","Protein Coding","P03951","59","GC04P186405","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F11"
"FGB","Fibrinogen Beta Chain","Protein Coding","P02675","59","GC04P154702","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGB"
"GCGR","Glucagon Receptor","Protein Coding","P47871","59","GC17P081804","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCGR"
"PRKAR1B","Protein Kinase CAMP-Dependent Type I Regulatory Subunit Beta","Protein Coding","P31321","59","GC07M000549","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAR1B"
"WNT4","Wnt Family Member 4","Protein Coding","P56705","59","GC01M022190","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WNT4"
"CHRM1","Cholinergic Receptor Muscarinic 1","Protein Coding","P11229","58","GC11M132699","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRM1"
"CUBN","Cubilin","Protein Coding","O60494","58","GC10M016824","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CUBN"
"GRM4","Glutamate Metabotropic Receptor 4","Protein Coding","Q14833","58","GC06M100432","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRM4"
"RPE65","Retinoid Isomerohydrolase RPE65","Protein Coding","Q16518","58","GC01M068428","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPE65"
"BCAT2","Branched Chain Amino Acid Transaminase 2","Protein Coding","O15382","57","GC19M048795","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCAT2"
"CLCN7","Chloride Voltage-Gated Channel 7","Protein Coding","P51798","57","GC16M001444","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLCN7"
"CPOX","Coproporphyrinogen Oxidase","Protein Coding","P36551","57","GC03M098576","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPOX"
"DPP6","Dipeptidyl Peptidase Like 6","Protein Coding","P42658","57","GC07P153748","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPP6"
"OSMR","Oncostatin M Receptor","Protein Coding","Q99650","57","GC05P038845","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OSMR"
"PRKAG1","Protein Kinase AMP-Activated Non-Catalytic Subunit Gamma 1","Protein Coding","P54619","57","GC12M049002","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAG1"
"CACNG2","Calcium Voltage-Gated Channel Auxiliary Subunit Gamma 2","Protein Coding","Q9Y698","56","GC22M081553","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNG2"
"CD2","CD2 Molecule","Protein Coding","P06729","56","GC01P116754","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD2"
"DNASE1","Deoxyribonuclease 1","Protein Coding","P24855","56","GC16P003611","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNASE1"
"EFEMP2","EGF Containing Fibulin Extracellular Matrix Protein 2","Protein Coding","O95967","56","GC11M132839","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EFEMP2"
"GABRG3","Gamma-Aminobutyric Acid Type A Receptor Subunit Gamma3","Protein Coding","Q99928","56","GC15P026971","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABRG3"
"GPD1","Glycerol-3-Phosphate Dehydrogenase 1","Protein Coding","P21695","56","GC12P064981","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPD1"
"GUCY1A1","Guanylate Cyclase 1 Soluble Subunit Alpha 1","Protein Coding","Q02108","56","GC04P155667","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GUCY1A1"
"MYO7A","Myosin VIIA","Protein Coding","Q13402","56","GC11P077128","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYO7A"
"PDE6D","Phosphodiesterase 6D","Protein Coding","O43924","56","GC02M231732","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDE6D"
"PIK3R5","Phosphoinositide-3-Kinase Regulatory Subunit 5","Protein Coding","Q8WYR1","56","GC17M008878","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3R5"
"TXK","TXK Tyrosine Kinase","Protein Coding","P42681","56","GC04M048066","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TXK"
"CBLIF","Cobalamin Binding Intrinsic Factor","Protein Coding","P27352","55","GC11M059829","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CBLIF"
"KLK4","Kallikrein Related Peptidase 4","Protein Coding","Q9Y5K2","55","GC19M101378","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLK4"
"LTBP3","Latent Transforming Growth Factor Beta Binding Protein 3","Protein Coding","Q9NS15","55","GC11M065538","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTBP3"
"NDUFB10","NADH:Ubiquinone Oxidoreductase Subunit B10","Protein Coding","O96000","55","GC16P104045","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFB10"
"SCN11A","Sodium Voltage-Gated Channel Alpha Subunit 11","Protein Coding","Q9UI33","55","GC03M038862","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCN11A"
"SLC1A7","Solute Carrier Family 1 Member 7","Protein Coding","O00341","55","GC01M053087","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC1A7"
"TCN2","Transcobalamin 2","Protein Coding","P20062","55","GC22P081250","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCN2"
"CBX2","Chromobox 2","Protein Coding","Q14781","54","GC17P134772","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CBX2"
"CEBPE","CCAAT Enhancer Binding Protein Epsilon","Protein Coding","Q15744","54","GC14M023117","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEBPE"
"MOCS1","Molybdenum Cofactor Synthesis 1","Protein Coding","Q9NZB8","54","GC06M039899","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MOCS1"
"PTGDR2","Prostaglandin D2 Receptor 2","Protein Coding","Q9Y5Y4","54","GC11M060850","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGDR2"
"RAMP1","Receptor Activity Modifying Protein 1","Protein Coding","O60894","54","GC02P237858","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAMP1"
"RBP3","Retinol Binding Protein 3","Protein Coding","P10745","54","GC10P047348","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBP3"
"SLC24A4","Solute Carrier Family 24 Member 4","Protein Coding","Q8NFF2","54","GC14P092322","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC24A4"
"SLC6A13","Solute Carrier Family 6 Member 13","Protein Coding","Q9NSD5","54","GC12M000200","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A13"
"CELSR2","Cadherin EGF LAG Seven-Pass G-Type Receptor 2","Protein Coding","Q9HCU4","53","GC01P109538","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CELSR2"
"GPAM","Glycerol-3-Phosphate Acyltransferase, Mitochondrial","Protein Coding","Q9HCL2","53","GC10M112148","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPAM"
"KCNH8","Potassium Voltage-Gated Channel Subfamily H Member 8","Protein Coding","Q96L42","53","GC03P024421","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNH8"
"MYO1A","Myosin IA","Protein Coding","Q9UBC5","53","GC12M057028","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYO1A"
"PAPOLA","Poly(A) Polymerase Alpha","Protein Coding","P51003","53","GC14P096501","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAPOLA"
"SLC29A4","Solute Carrier Family 29 Member 4","Protein Coding","Q7RTT9","53","GC07P005274","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC29A4"
"TMPRSS3","Transmembrane Serine Protease 3","Protein Coding","P57727","53","GC21M042371","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMPRSS3"
"WNT9A","Wnt Family Member 9A","Protein Coding","O14904","53","GC01M227920","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WNT9A"
"ADAMTS3","ADAM Metallopeptidase With Thrombospondin Type 1 Motif 3","Protein Coding","O15072","52","GC04M072280","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTS3"
"ALOXE3","Arachidonate Epidermal Lipoxygenase 3","Protein Coding","Q9BYJ1","52","GC17M088322","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALOXE3"
"CBX1","Chromobox 1","Protein Coding","P83916","52","GC17M048070","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CBX1"
"CTRL","Chymotrypsin Like","Protein Coding","P40313","52","GC16M067927","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTRL"
"DEF6","DEF6 Guanine Nucleotide Exchange Factor","Protein Coding","Q9H4E7","52","GC06P156420","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DEF6"
"ELMO1","Engulfment And Cell Motility 1","Protein Coding","Q92556","52","GC07M036860","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELMO1"
"KCNK2","Potassium Two Pore Domain Channel Subfamily K Member 2","Protein Coding","O95069","52","GC01P215005","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNK2"
"NEK8","NIMA Related Kinase 8","Protein Coding","Q86SG6","52","GC17P028725","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEK8"
"NEUROG1","Neurogenin 1","Protein Coding","Q92886","52","GC05M135534","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEUROG1"
"OPN1SW","Opsin 1, Short Wave Sensitive","Protein Coding","P03999","52","GC07M128772","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OPN1SW"
"PASK","PAS Domain Containing Serine/Threonine Kinase","Protein Coding","Q96RG2","52","GC02M241106","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PASK"
"PCDH12","Protocadherin 12","Protein Coding","Q9NPG4","52","GC05M141943","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCDH12"
"RAG2","Recombination Activating 2","Protein Coding","P55895","52","GC11M036575","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAG2"
"RGR","Retinal G Protein Coupled Receptor","Protein Coding","P47804","52","GC10P116025","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RGR"
"RGS14","Regulator Of G Protein Signaling 14","Protein Coding","O43566","52","GC05P177357","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RGS14"
"RPH3A","Rabphilin 3A","Protein Coding","Q9Y2J0","52","GC12P112570","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPH3A"
"SLC35A1","Solute Carrier Family 35 Member A1","Protein Coding","P78382","52","GC06P087470","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC35A1"
"USP20","Ubiquitin Specific Peptidase 20","Protein Coding","Q9Y2K6","52","GC09P129834","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP20"
"CPSF1","Cleavage And Polyadenylation Specific Factor 1","Protein Coding","Q10570","51","GC08M144393","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPSF1"
"GABRE","Gamma-Aminobutyric Acid Type A Receptor Subunit Epsilon","Protein Coding","P78334","51","GC0XM151955","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABRE"
"ORM2","Orosomucoid 2","Protein Coding","P19652","51","GC09P114329","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ORM2"
"PAFAH1B2","Platelet Activating Factor Acetylhydrolase 1b Catalytic Subunit 2","Protein Coding","P68402","51","GC11P117144","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAFAH1B2"
"PLA1A","Phospholipase A1 Member A","Protein Coding","Q53H76","51","GC03P119597","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA1A"
"PLA2G5","Phospholipase A2 Group V","Protein Coding","P39877","51","GC01P020028","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA2G5"
"RBP2","Retinol Binding Protein 2","Protein Coding","P50120","51","GC03M139452","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBP2"
"RHCE","Rh Blood Group CcEe Antigens","Protein Coding","P18577","51","GC01M032159","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHCE"
"SLC35C1","Solute Carrier Family 35 Member C1","Protein Coding","Q96A29","51","GC11P048336","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC35C1"
"SLC39A10","Solute Carrier Family 39 Member 10","Protein Coding","Q9ULF5","51","GC02P195575","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC39A10"
"SLC4A11","Solute Carrier Family 4 Member 11","Protein Coding","Q8NBS3","51","GC20M004231","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC4A11"
"SPINK2","Serine Peptidase Inhibitor Kazal Type 2","Protein Coding","P20155","51","GC04M056809","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPINK2"
"SV2B","Synaptic Vesicle Glycoprotein 2B","Protein Coding","Q7L1I2","51","GC15P091099","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SV2B"
"SYT4","Synaptotagmin 4","Protein Coding","Q9H2B2","51","GC18M043267","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYT4"
"TTBK1","Tau Tubulin Kinase 1","Protein Coding","Q5TCY1","51","GC06P043243","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTBK1"
"ADAMTS14","ADAM Metallopeptidase With Thrombospondin Type 1 Motif 14","Protein Coding","Q8WXS8","50","GC10P070672","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTS14"
"ADGRF5","Adhesion G Protein-Coupled Receptor F5","Protein Coding","Q8IZF2","50","GC06M046852","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADGRF5"
"ART3","ADP-Ribosyltransferase 3 (Inactive)","Protein Coding","Q13508","50","GC04P076011","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ART3"
"ATP5ME","ATP Synthase Membrane Subunit E","Protein Coding","P56385","50","GC04M005629","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP5ME"
"BFSP1","Beaded Filament Structural Protein 1","Protein Coding","Q12934","50","GC20M017493","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BFSP1"
"CAPN6","Calpain 6","Protein Coding","Q9Y6Q1","50","GC0XM111245","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPN6"
"COX7A2L","Cytochrome C Oxidase Subunit 7A2 Like","Protein Coding","O14548","50","GC02M042312","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX7A2L"
"CYB5R4","Cytochrome B5 Reductase 4","Protein Coding","Q7L1T6","50","GC06P083859","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYB5R4"
"FBN3","Fibrillin 3","Protein Coding","Q75N90","50","GC19M008065","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBN3"
"FCRL5","Fc Receptor Like 5","Protein Coding","Q96RD9","50","GC01M165238","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCRL5"
"KCNK5","Potassium Two Pore Domain Channel Subfamily K Member 5","Protein Coding","O95279","50","GC06M100467","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNK5"
"LILRA2","Leukocyte Immunoglobulin Like Receptor A2","Protein Coding","Q8N149","50","GC19P054572","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LILRA2"
"MAPRE3","Microtubule Associated Protein RP/EB Family Member 3","Protein Coding","Q9UPY8","50","GC02P026970","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPRE3"
"MMP25","Matrix Metallopeptidase 25","Protein Coding","Q9NPA2","50","GC16P104083","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP25"
"PCDH11X","Protocadherin 11 X-Linked","Protein Coding","Q9BZA7","50","GC0XP091779","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCDH11X"
"SACS","Sacsin Molecular Chaperone","Protein Coding","Q9NZJ4","50","GC13M023288","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SACS"
"SIAE","Sialic Acid Acetylesterase","Protein Coding","Q9HAT2","50","GC11M124633","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIAE"
"THOC6","THO Complex Subunit 6","Protein Coding","Q86W42","50","GC16P003024","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=THOC6"
"TMEM126B","Transmembrane Protein 126B","Protein Coding","Q8IUX1","50","GC11P085628","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM126B"
"ACYP1","Acylphosphatase 1","Protein Coding","P07311","49","GC14M075053","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACYP1"
"AP5Z1","Adaptor Related Protein Complex 5 Subunit Zeta 1","Protein Coding","O43299","49","GC07P004775","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AP5Z1"
"APOL2","Apolipoprotein L2","Protein Coding","Q9BQE5","49","GC22M036226","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOL2"
"CAPN15","Calpain 15","Protein Coding","O75808","49","GC16P000527","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPN15"
"CNKSR1","Connector Enhancer Of Kinase Suppressor Of Ras 1","Protein Coding","Q969H4","49","GC01P061206","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNKSR1"
"CUL9","Cullin 9","Protein Coding","Q8IWT3","49","GC06P043182","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CUL9"
"FGD2","FYVE, RhoGEF And PH Domain Containing 2","Protein Coding","Q7Z6J4","49","GC06P156452","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGD2"
"FRAS1","Fraser Extracellular Matrix Complex Subunit 1","Protein Coding","Q86XX4","49","GC04P078057","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FRAS1"
"MMEL1","Membrane Metalloendopeptidase Like 1","Protein Coding","Q495T6","49","GC01M002590","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMEL1"
"PCDHA2","Protocadherin Alpha 2","Protein Coding","Q9Y5H9","49","GC05P155467","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCDHA2"
"POU4F2","POU Class 4 Homeobox 2","Protein Coding","Q12837","49","GC04P146638","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POU4F2"
"PPP1R1A","Protein Phosphatase 1 Regulatory Inhibitor Subunit 1A","Protein Coding","Q13522","49","GC12M059769","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1R1A"
"PXK","PX Domain Containing Serine/Threonine Kinase Like","Protein Coding","Q7Z7A4","49","GC03P061821","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PXK"
"SLC26A6","Solute Carrier Family 26 Member 6","Protein Coding","Q9BXS9","49","GC03M048625","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC26A6"
"SLC30A7","Solute Carrier Family 30 Member 7","Protein Coding","Q8NEW0","49","GC01P100896","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC30A7"
"SNTB2","Syntrophin Beta 2","Protein Coding","Q13425","49","GC16P069187","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNTB2"
"ACOT11","Acyl-CoA Thioesterase 11","Protein Coding","Q8WXI4","48","GC01P054542","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACOT11"
"AGMAT","Agmatinase (Putative)","Protein Coding","Q9BSE5","48","GC01M015571","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGMAT"
"ARSF","Arylsulfatase F","Protein Coding","P54793","48","GC0XP003040","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARSF"
"ATP6V1C2","ATPase H+ Transporting V1 Subunit C2","Protein Coding","Q8NEY4","48","GC02P010720","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6V1C2"
"B4GALT5","Beta-1,4-Galactosyltransferase 5","Protein Coding","O43286","48","GC20M049632","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=B4GALT5"
"CDH20","Cadherin 20","Protein Coding","Q9HBT6","48","GC18P061333","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH20"
"CELF3","CUGBP Elav-Like Family Member 3","Protein Coding","Q5SZQ8","48","GC01M151700","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CELF3"
"CLSTN2","Calsyntenin 2","Protein Coding","Q9H4D0","48","GC03P139935","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLSTN2"
"CNOT8","CCR4-NOT Transcription Complex Subunit 8","Protein Coding","Q9UFF9","48","GC05P155826","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNOT8"
"ENTPD8","Ectonucleoside Triphosphate Diphosphohydrolase 8","Protein Coding","Q5MY95","48","GC09M137434","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENTPD8"
"GPR182","G Protein-Coupled Receptor 182","Protein Coding","O15218","48","GC12P056994","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR182"
"HTR1E","5-Hydroxytryptamine Receptor 1E","Protein Coding","P28566","48","GC06P086937","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR1E"
"MYBPH","Myosin Binding Protein H","Protein Coding","Q13203","48","GC01M203136","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYBPH"
"NCEH1","Neutral Cholesterol Ester Hydrolase 1","Protein Coding","Q6PIU2","48","GC03M172630","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCEH1"
"NFYB","Nuclear Transcription Factor Y Subunit Beta","Protein Coding","P25208","48","GC12M104117","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFYB"
"RGL2","Ral Guanine Nucleotide Dissociation Stimulator Like 2","Protein Coding","O15211","48","GC06M033291","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RGL2"
"SLC25A18","Solute Carrier Family 25 Member 18","Protein Coding","Q9H1K4","48","GC22P080774","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A18"
"SLC28A2","Solute Carrier Family 28 Member 2","Protein Coding","O43868","48","GC15P045252","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC28A2"
"VAX2","Ventral Anterior Homeobox 2","Protein Coding","Q9UIW0","48","GC02P070900","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VAX2"
"ADPRH","ADP-Ribosylarginine Hydrolase","Protein Coding","P54922","47","GC03P119579","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADPRH"
"AKR1E2","Aldo-Keto Reductase Family 1 Member E2","Protein Coding","Q96JD6","47","GC10P004786","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKR1E2"
"EDF1","Endothelial Differentiation Related Factor 1","Protein Coding","O60869","47","GC09M136862","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EDF1"
"FEZF2","FEZ Family Zinc Finger 2","Protein Coding","Q8TBJ5","47","GC03M062355","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FEZF2"
"GNGT2","G Protein Subunit Gamma Transducin 2","Protein Coding","O14610","47","GC17M049202","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNGT2"
"KCNJ14","Potassium Inwardly Rectifying Channel Subfamily J Member 14","Protein Coding","Q9UNX9","47","GC19P048455","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNJ14"
"PLA2G2D","Phospholipase A2 Group IID","Protein Coding","Q9UNK4","47","GC01M020111","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA2G2D"
"REC8","REC8 Meiotic Recombination Protein","Protein Coding","O95072","47","GC14P024171","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=REC8"
"SDCBP2","Syndecan Binding Protein 2","Protein Coding","Q9H190","47","GC20M001309","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDCBP2"
"SORCS3","Sortilin Related VPS10 Domain Containing Receptor 3","Protein Coding","Q9UPU3","47","GC10P116707","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SORCS3"
"TRPM5","Transient Receptor Potential Cation Channel Subfamily M Member 5","Protein Coding","Q9NZQ8","47","GC11M013322","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPM5"
"USP26","Ubiquitin Specific Peptidase 26","Protein Coding","Q9BXU7","47","GC0XM133024","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP26"
"BRPF3","Bromodomain And PHD Finger Containing 3","Protein Coding","Q9ULD4","46","GC06P156439","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRPF3"
"HIC2","HIC ZBTB Transcriptional Repressor 2","Protein Coding","Q96JB3","46","GC22P080930","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIC2"
"IRX3","Iroquois Homeobox 3","Protein Coding","P78415","46","GC16M054283","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRX3"
"KCNH4","Potassium Voltage-Gated Channel Subfamily H Member 4","Protein Coding","Q9UQ05","46","GC17M089356","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNH4"
"RAB33A","RAB33A, Member RAS Oncogene Family","Protein Coding","Q14088","46","GC0XP130110","0.892554759979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB33A"
